报案号1,	报案号2,	关系
9025803362019000060,	9025803362018000053,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362019000060,	9025803202017000155,	"['同报案人', '同报案电话']"
9025803362019000060,	9025803202017000103,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362019000060,	9020003202016005695,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362019000060,	9020003262016003533,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362019000060,	9020003262015006372,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362019000040（商业险）,	9025803202019000099（交强险）,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号', '同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号', '同三者联系电话']"
9025803362019000040（商业险）,	9025803202018000008,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362019000040（商业险）,	9025803202017000166,	['同标的车架号']
9025803362019000040（商业险）,	9025803202017000032,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362019000040（商业险）,	9025803202016000068,	['同标的车架号']
9025803362019000040（商业险）,	9020003202015004407,	['同标的车架号']
9025803202019000099（交强险）,	9025803202018000008,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202019000099（交强险）,	9025803202017000166,	['同标的车架号']
9025803202019000099（交强险）,	9025803202017000032,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202019000099（交强险）,	9025803202016000068,	['同标的车架号']
9025803202019000099（交强险）,	9020003202015004407,	['同标的车架号']
9025803362019000027,	9020003202016000243,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362019000027,	9026403262014000383,	"['同标的车牌号', '同标的车架号']"
9025803362019000021,	9025803202018000067,	"['同标的车牌号', '同标的车架号']"
9025803202019000004,	9020003202015004407,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9025803202019000004,	9020003202015001090,	"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9025803362019000001,	9025803202017000032,	"['同标的车牌号', '同标的车架号']"
9025803362019000001,	9025803202017000022,	"['同报案电话', '同标的车牌号', '同标的车架号']"
9025803362019000001,	9020003202016002588,	"['同标的车牌号', '同标的车架号']"
9025803362019000001,	9020003202015004407,	['同报案电话']
9025803202018000292,	9025803202018000067,	['同报案电话']
9025803202018000292,	9025803202017000166,	['同报案电话']
9025803202018000292,	9025803202017000079,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000292,	9020003202016004662,	"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000292,	9026403262015000406,	"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000292,	9026403262015000239,	"['同标的车牌号', '同标的车架号']"
9025803202018000275,	9025803202018000056,	['同报案电话']
9025803202018000275,	9025803202017000014,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000275,	9025803202017000010,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000275,	9020003202016005648,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000275,	9020003202016005046,	"['同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000275,	9020003202016003873,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000275,	9020003262016004023,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000275,	9020003202016002588,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000275,	9026403262015000239,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000256,	9025803362018000078,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000256,	9025803202017000022,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000256,	9020003202016005046,	['同报案人']
9025803202018000256,	9020003262015006372,	['同报案电话']
9025803362018000078,	9025803202017000022,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362018000078,	9020003202016005046,	['同报案人']
9025803362018000078,	9020003262015006372,	['同报案电话']
9025803202018000153,	9025803202016000068,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9025803202018000153,	9020003262016004023,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9025803202018000152,	9025803202017000158,	"['同标的车牌号', '同标的车架号']"
9025803202018000129,	9020003202017003750,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000129,	9025803202017000077,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000129,	9025803202017000025,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000129,	9020003202016005695,	"['同标的车牌号', '同标的车架号']"
9025803202018000129,	9020003202016004662,	['同报案电话']
9025803202018000129,	9026403262015000406,	['同报案电话']
9025803202018000129,	9020003262015007435,	['同标的驾驶员驾驶证号']
9025803202018000129,	9020003262015002895,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000129,	9020003202015001090,	['同报案电话']
9025803202018000129,	9020003202013005246 ,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202018001488,	9020003202017000605,	"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362018000053,	9025803202017000155,	"['同报案人', '同报案电话']"
9025803362018000053,	9025803202017000103,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362018000053,	9020003202016005695,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362018000053,	9020003262016003533,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362018000053,	9020003262015006372,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202018000067,	9025803202017000166,	['同报案电话']
9025803202018000067,	9025803202017000079,	['同报案电话']
9025803202018000056,	9025803202017000155,	"['同标的车牌号', '同标的车架号']"
9025803202018000056,	9020003262016003533,	"['同标的车牌号', '同标的车架号']"
9025803202018000008,	9025803202017000032,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803362018000003,	9025803202017000077,	"['同标的车牌号', '同标的车架号']"
9025803202017000166,	9025803202017000079,	['同报案电话']
9025803202017000166,	9025803202016000068,	"['同标的车牌号', '同标的车架号']"
9025803202017000166,	9020003202015004407,	"['同标的车牌号', '同标的车架号']"
9025803202017000158,	9020003262015005134,	['同报案电话']
9025803202017000158,	9026403262015000239,	['同报案电话']
9025803202017000158,	9020003262015002505,	['同报案电话']
9025803202017000155,	9025803202017000103,	"['同报案人', '同报案电话']"
9025803202017000155,	9020003202016005695,	"['同报案人', '同报案电话']"
9025803202017000155,	9020003262016003533,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号']"
9025803202017000155,	9020003262015006372,	['同报案人']
9020003202017003750,	9025803202017000077,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202017003750,	9025803202017000025,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202017003750,	9020003202016005695,	"['同标的车牌号', '同标的车架号']"
9020003202017003750,	9020003202016004662,	['同报案电话']
9020003202017003750,	9026403262015000406,	['同报案电话']
9020003202017003750,	9020003262015007435,	['同标的驾驶员驾驶证号']
9020003202017003750,	9020003262015002895,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202017003750,	9020003202015001090,	['同报案电话']
9020003202017003750,	9020003202013005246 ,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000103,	9020003202016005695,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000103,	9020003262016003533,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000103,	9020003262015006372,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000079,	9020003202016004662,	"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000079,	9026403262015000406,	"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000079,	9026403262015000239,	"['同标的车牌号', '同标的车架号']"
9025803202017000077,	9025803202017000025,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000077,	9020003202016004662,	['同报案电话']
9025803202017000077,	9026403262015000406,	['同报案电话']
9025803202017000077,	9020003262015007435,	['同标的驾驶员驾驶证号']
9025803202017000077,	9020003262015002895,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000077,	9020003202015001090,	['同报案电话']
9025803202017000077,	9020003202013005246 ,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202017002320,	9020003262015007435,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名']"
9020003202017002320,	9020003262015002895,	['同标的车架号']
9020003202017002320,	9026403262014000383,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202017002320,	9020003202013005246 ,	['同标的车架号']
9025803202017000032,	9025803202017000022,	"['同标的车牌号', '同标的车架号']"
9025803202017000032,	9025803202016000068,	['同报案电话']
9025803202017000032,	9020003202016002588,	"['同标的车牌号', '同标的车架号']"
9025803202017000025,	9020003202016004662,	['同报案电话']
9025803202017000025,	9026403262015000406,	['同报案电话']
9025803202017000025,	9020003262015007435,	['同标的驾驶员驾驶证号']
9025803202017000025,	9020003262015002895,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000025,	9020003202015001090,	['同报案电话']
9025803202017000025,	9020003202013005246 ,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000022,	9020003202016005046,	['同报案人']
9025803202017000022,	9020003202016002588,	"['同标的车牌号', '同标的车架号']"
9025803202017000022,	9020003202015004407,	['同报案电话']
9025803202017000014,	9025803202017000010,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000014,	9020003202016005648,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000014,	9020003202016005046,	"['同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000014,	9020003202016003873,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000014,	9020003262016004023,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000014,	9020003202016002588,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000014,	9026403262015000239,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000010,	9020003202016005648,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000010,	9020003202016005046,	"['同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000010,	9020003202016003873,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000010,	9020003262016004023,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000010,	9020003202016002588,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202017000010,	9026403262015000239,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9025803202016000068,	9020003262016004023,	"['同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9025803202016000068,	9020003202015004407,	"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202016005695,	9020003262016003533,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202016005695,	9020003262015006372,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202016005648,	9020003202016005046,	"['同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202016005648,	9020003202016003873,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202016005648,	9020003262016004023,	"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202016005648,	9020003202016002588,	"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202016005648,	9026403262015000239,	"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202016005046,	9020003202016003873,	"['同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202016005046,	9020003262016004023,	"['同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202016005046,	9020003202016002588,	"['同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
